brand,model,row_count,min_price_lkr,median_price_lkr,max_price_lkr,std_price_lkr,min_year,max_year,price_range_lkr,std_to_median_ratio,range_to_median_ratio
ISUZU,GEMINI,21,390000.0,975000.0,1475000.0,270648.40298016596,1986,1992,1085000.0,0.27758810562068303,1.1128205128205129
SUZUKI,MARUTI ZEN,8,1065000.0,2037500.0,2700000.0,555760.4185772344,1996,2006,1635000.0,0.27276584960845857,0.8024539877300614
MITSUBISHI,LANCER WAGON,11,460000.0,690000.0,990000.0,185054.04615949362,1980,1990,530000.0,0.26819426979636757,0.7681159420289855
MITSUBISHI,C12,8,740000.0,800000.0,1300000.0,212585.06700680015,1984,1990,560000.0,0.26573133375850017,0.7
TOYOTA,VITZ,366,3650000.0,6011250.0,10800000.0,1592735.0949842907,1999,2019,7150000.0,0.26495905094352934,1.189436473279268
NISSAN,B14,6,1095625.0,2205000.0,2700000.0,571374.1317538798,1994,1997,1604375.0,0.25912659036457136,0.7276077097505669
TOYOTA,DX WAGON,20,500000.0,1100000.0,1650000.0,284752.3161959308,1982,1994,1150000.0,0.25886574199630075,1.0454545454545454
MAZDA,FLAIR CUSTOM ZX,25,10070000.0,89710000.0,99760000.0,22812724.702089693,2023,2025,89690000.0,0.2542941110477059,0.9997770594136662
MITSUBISHI,MIRAGE,7,2375000.0,4300000.0,5375000.0,1091779.3471471895,1992,2013,3000000.0,0.25390217375516033,0.6976744186046512
TOYOTA,IST,30,4500000.0,5410000.0,10325000.0,1347033.1916995326,2002,2023,5825000.0,0.2489894993899321,1.076709796672828
SUZUKI,SWIFT JAPAN,15,2065000.0,4675000.0,6800000.0,1163492.9962749896,1998,2012,4735000.0,0.2488755072245967,1.0128342245989306
KIA,RIO,38,1170625.0,2162500.0,3265625.0,536988.1873311175,2000,2021,2095000.0,0.24831823691612367,0.96878612716763
TOYOTA,COROLLA KE72,5,795000.0,845000.0,1250000.0,206960.14109001763,1983,1988,455000.0,0.24492324389351197,0.5384615384615384
TATA,NANO,44,1000000.0,1589500.0,2175000.0,383576.34934660967,2011,2017,1175000.0,0.24131887344863773,0.7392261717521234
TOYOTA,TERCEL,11,1462500.0,2375000.0,3262500.0,539135.0395857154,1985,1999,1800000.0,0.22700422719398544,0.7578947368421053
TOYOTA,AXIO,148,6900000.0,9275000.0,14750000.0,2092141.9672423895,2007,2020,7850000.0,0.22556786708812823,0.8463611859838275
HONDA,FIT,65,5475000.0,12520000.0,16496000.0,2810418.528234925,2007,2025,11021000.0,0.2244743233414477,0.8802715654952077
DFSK,GLORY 330,35,4115000.0,5806000.0,7830000.0,1294166.7271441729,2016,2023,3715000.0,0.22290160646644383,0.6398553220806062
TOYOTA,KE72,9,435000.0,970000.0,1150000.0,212050.17749999123,1982,1985,715000.0,0.21860843041236208,0.7371134020618557
SUZUKI,ESTEEM,5,1475000.0,2150000.0,2650000.0,462420.2633968369,1999,2004,1175000.0,0.21507919227759856,0.5465116279069767
TOYOTA,PREMIO G SUPERIOR,112,9250000.0,13225000.0,19850000.0,2832085.879444665,2007,2020,10600000.0,0.21414638029827332,0.8015122873345936
TOYOTA,ALLION,64,6500000.0,9050000.0,13881250.0,1933047.5755372136,2002,2017,7381250.0,0.21359641718643244,0.8156077348066298
LAND ROVER,DISCOVERY 1,26,25430000.0,35995000.0,47830000.0,7565707.338938081,1980,1995,22400000.0,0.21018772993299292,0.6223086539797194
